code,title,old_map
1000/1-C-9a,The Thought of Norea,1100/3-C/5C/1
1000/3-B-1a,Sophia (Robot),1100/3-A/1A (Sophia)
3000/10-D-1a,Old Sumerian,3602/1-A/2A
3000/10-D-1b,Emesal,3602/1-A/3A
3000/10-D-1c,Akkadian,3602/1-A/4A
6000/2-A-1a,Sibylline Oracles,6200/1-A/1A
9000/1-A-2a,chutzpah,9100/1-A/1A/1
9000/1-A-2b,je ne sais quoi,9100/1-A/1A/2
9000/1-A-2c,cut of one's jib,9100/1-A/1A/3
9000/1-A-2d,childlike wonder,9100/1-A/1A/4
9000/1-A-2e,gumption,9100/1-A/1A/5
9000/1-A-2f,moxie,9100/1-A/1A/6
9000/1-A-4a,"Duplicate ""really"" "" and then """,9100/1-C/1
11000/1-B-1a,Named Foxes,11100/2-A/1A.1
11000/1-B-1a-1,amet,11100/2-A/1A.1.1
11000/1-B-1a-2,alaeitheon,11100/2-A/1A.1.2
11000/1-B-1a-3,[Unidentified Fox],11100/2-A/1A.1.3
11000/1-B-2a,Sylvaaeth,11100/2-B/1B
